CPU Time | Mem_Allocated | Mem_Free | Jobs in Job_Q | Jobs in ready_Q | Jobs in blocked_Q| # of Jobs Completed
---------|---------------|----------|---------------|-----------------|------------------|--------------------
      205|            484|        28|              2|                8|                 1|                   0
      400|            484|        28|             12|                9|                 0|                   0
      600|            484|        28|             24|                8|                 1|                   0
      806|            484|        28|             32|                9|                 0|                   0
     1003|            484|        28|             32|                8|                 1|                   0
     1206|            484|        28|             32|                9|                 0|                   0
     1415|            484|        28|             32|                9|                 0|                   0
     1618|            484|        28|             32|                9|                 0|                   0
     1802|            484|        28|             32|                9|                 0|                   0
     2002|            484|        28|             32|                9|                 0|                   0
     2209|            468|        44|             31|                8|                 0|                   2
     2408|            498|        14|             30|                7|                 1|                   3
     2615|            464|        48|             29|                8|                 0|                   4
     2809|            464|        48|             29|                7|                 1|                   4
     3012|            500|        12|             28|                8|                 0|                   5
     3215|            500|        12|             28|                8|                 0|                   5
     3409|            491|        21|             22|               12|                 0|                   7
     3617|            491|        21|             22|               12|                 0|                   7
     3811|            491|        21|             22|               12|                 0|                   7
     4007|            491|        21|             22|               12|                 0|                   7
     4219|            491|        21|             22|               12|                 0|                   7
     4400|            491|        21|             22|               12|                 0|                   7
     4613|            495|        17|             20|               13|                 0|                   8
     4805|            481|        31|             20|               12|                 0|                   9
     5015|            481|        31|             20|               12|                 0|                   9
     5210|            507|         5|             19|               12|                 0|                  10
     5407|            507|         5|             19|               11|                 1|                  10
     5610|            477|        35|             19|               10|                 1|                  11
     5819|            477|        35|             19|               11|                 0|                  11
     6021|            447|        65|             19|               10|                 0|                  12
     6207|            493|        19|             17|               12|                 0|                  12
     6411|            479|        33|             17|               11|                 0|                  13
     6613|            447|        65|             17|               10|                 0|                  14
     6812|            503|         9|             16|               10|                 1|                  14
     7001|            503|         9|             15|               10|                 0|                  16
     7201|            503|         9|             14|               10|                 0|                  17
     7415|            473|        39|             13|               10|                 0|                  18
     7611|            473|        39|             13|                9|                 1|                  18
     7806|            483|        29|             12|               10|                 0|                  19
     8001|            483|        29|             12|                9|                 1|                  19
     8208|            483|        29|             12|               10|                 0|                  19
     8419|            483|        29|             11|               10|                 0|                  20
     8606|            483|        29|             11|                9|                 1|                  20
     8806|            483|        29|             11|               10|                 0|                  20
     9029|            467|        45|             10|               10|                 0|                  21
     9211|            467|        45|             10|               10|                 0|                  21
     9410|            483|        29|              9|               10|                 0|                  22
     9608|            468|        44|              9|                9|                 0|                  23
     9800|            378|       134|              9|                8|                 0|                  24
    10013|            484|        28|              7|               10|                 0|                  24
    10205|            484|        28|              7|               10|                 0|                  24
    10416|            474|        38|              6|               10|                 0|                  25
    10619|            474|        38|              6|                9|                 1|                  25
    10803|            481|        31|              5|               10|                 0|                  26
    11005|            467|        45|              4|               10|                 0|                  27
    11208|            472|        40|              2|               10|                 1|                  28
    11405|            472|        40|              2|               10|                 1|                  28
    11610|            472|        40|              2|               10|                 1|                  28
    11814|            453|        59|              1|               11|                 0|                  29
    12006|            419|        93|              1|               10|                 0|                  30
    12209|            482|        30|              0|               10|                 0|                  31
    12411|            482|        30|              0|               10|                 0|                  31
    12615|            254|       258|              0|                6|                 0|                  35
    12807|            104|       408|              0|                2|                 1|                  38
    13006|             10|       502|              0|                1|                 0|                  40
    13062|              0|       512|              0|                0|                 0|                  41
Final CPU time: 13062
